procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 371808  31744 431992    0    0     0     0 3003 1017 10 16 74  0  0
 1  0    512 371808  31744 431992    0    0     0     0 3112 1178 11 15 74  0  0
 1  0    512 371808  31744 431992    0    0     0     0 2947  913  9 18 74  0  0
 1  0    512 371808  31744 431992    0    0     0     0 3018 1024 12 15 74  0  0
 2  0    512 371808  31744 431992    0    0     0     8 2934  838 13 14 74  0  0
 1  0    512 371684  31752 432004    0    0     0    24 2851  744 11 16 73  0  0
 1  0    512 371684  31752 432004    0    0     0     0 2912  826 11 16 73  0  0
 1  0    512 371684  31752 432004    0    0     0     0 2845  704 12 15 74  0  0
 1  0    512 371684  31752 432004    0    0     0     0 2755  573 11 15 75  0  0
 1  0    512 371684  31752 432004    0    0     0     0 2625  338  7 18 75  0  0
 1  0    512 371684  31752 432004    0    0     0     0 2633  331  8 17 74  0  0
 1  0    512 371684  31760 431996    0    0     0    12 2862  719 10 16 73  0  0
 1  0    512 371684  31760 431996    0    0     0     0 2946  875 12 16 72  0  0
 1  0    512 371684  31760 431996    0    0     0     0 2955  875 10 18 73  0  0
 1  0    512 371684  31760 431996    0    0     0     0 3158 1201 10 17 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 371684  31760 431996    0    0     0     0 2736  516  8 18 74  0  0
 1  0    512 371684  31760 431996    0    0     0     0 2688  399  8 18 74  0  0
 1  0    512 371684  31768 431988    0    0     0    16 2710  619 11 15 74  0  0
 1  0    512 371716  31768 432000    0    0     0     0 3048 1011 10 18 73  0  0
 1  0    512 371716  31768 432000    0    0     0     0 2644  344  9 18 74  0  0
 2  0    512 371716  31768 432000    0    0     0     0 2616  320 10 16 74  0  0
